Date,Open,High,Low,Close,Adj Close,Volume
2017-11-16,275.793732,291.523407,275.793732,283.134247,210.496552,4673042
2017-11-17,290.474762,309.350372,288.901794,307.253082,228.427734,7497877
2017-11-20,312.496307,315.642242,296.766632,303.058502,225.309280,4000014
2017-11-21,307.253082,312.496307,302.009857,304.107147,226.088898,2499574
2017-11-22,309.874695,316.690887,307.253082,313.020630,232.715637,3633721
2017-11-23,312.496307,314.593597,308.301727,314.593597,233.885086,1358682
2017-11-24,317.739532,332.944916,312.496307,330.323303,245.579315,3988716
2017-11-27,326.128693,347.101624,324.031403,342.907043,254.934738,4607664
2017-11-28,342.907043,352.869171,338.712463,339.236786,252.206100,4635597
2017-11-29,343.955688,354.966461,340.809753,352.344849,261.951294,4637799
2017-11-30,341.858398,352.344849,340.285431,352.344849,261.951294,20885202
2017-12-01,349.198914,349.198914,319.836823,325.080048,241.681229,5230420
2017-12-04,328.750305,335.566528,310.923340,314.069275,233.495255,3864223
2017-12-05,318.788177,318.788177,304.107147,311.447662,231.546204,5865759
2017-12-06,314.593597,314.593597,294.669342,297.815277,221.411209,4132130
2017-12-07,297.815277,306.728760,289.426117,300.961212,223.750046,3451508
2017-12-08,309.350372,325.080048,306.204437,325.080048,241.681229,5275288
2017-12-11,325.080048,325.080048,304.107147,312.496307,232.325836,5172276
2017-12-12,316.690887,320.885468,305.155792,306.728760,228.037933,2879908
2017-12-13,312.496307,318.788177,309.350372,313.544952,233.105438,2586171
2017-12-14,318.788177,332.944916,310.399017,318.788177,237.003525,4125267
2017-12-15,322.982758,328.750305,317.739532,324.031403,240.901611,2787636
2017-12-18,327.701660,356.015106,324.555725,356.015106,264.679932,6264827
2017-12-19,357.063751,369.647491,345.004333,349.198914,259.612457,8668351
2017-12-20,353.393494,360.209686,347.101624,359.685364,267.408600,3612018
2017-12-21,356.539429,358.636719,349.198914,352.869171,262.341095,2336957
2017-12-22,359.685364,361.782654,349.723236,359.161041,267.018799,3845702
2017-12-25,359.685364,362.831299,350.247559,361.782654,268.967804,1669661
2017-12-26,356.539429,358.636719,336.615173,336.615173,250.257034,2856204
2017-12-27,351.296204,365.452911,350.247559,352.344849,261.951294,4647302
2017-12-28,354.966461,359.685364,349.198914,357.588074,265.849365,2187720
2017-12-29,356.015106,372.269104,354.966461,370.171814,275.204803,5179322
2018-01-02,370.171814,371.220459,358.636719,371.220459,275.984375,2189544
2018-01-03,387.474457,407.923035,381.706909,407.923035,303.270966,4114285
2018-01-04,420.506775,440.431061,413.166260,417.885162,310.677338,9588438
2018-01-05,414.739227,435.187836,405.301422,423.652710,314.965210,5269091
2018-01-08,423.652710,423.652710,412.641937,419.458130,311.846771,3095569
2018-01-09,424.701355,428.895966,409.496002,413.166260,307.169037,4293913
2018-01-10,416.312195,419.982452,396.387939,397.960907,295.864594,4265223
2018-01-11,414.739227,424.701355,402.679810,405.301422,301.321930,7747652
2018-01-12,412.641937,412.641937,390.096069,393.242004,292.356323,4293784
2018-01-15,398.485229,399.009552,364.928589,371.220459,275.984375,6965850
2018-01-16,365.977234,379.085297,351.296204,378.036652,281.051910,12175798
2018-01-17,377.512329,378.036652,365.452911,372.269104,276.764008,5577682
2018-01-18,375.415039,385.901489,371.744781,379.609619,282.221313,6737092
2018-01-19,385.901489,407.923035,382.755554,407.923035,303.270966,5785731
2018-01-22,402.679810,442.004028,400.582520,435.187836,323.541016,10163368
2018-01-23,436.760803,444.101318,414.214905,414.214905,307.948700,7961245
2018-01-24,418.409485,424.701355,410.544647,416.312195,309.507874,4691246
2018-01-25,420.506775,424.701355,402.679810,414.739227,308.338501,4377217
2018-01-26,418.409485,419.458130,391.144714,391.144714,290.797119,6137701
2018-01-29,400.582520,401.106842,389.047424,401.106842,298.203461,4821619
2018-01-30,396.387939,402.155487,384.852844,391.144714,290.797119,4186547
2018-01-31,383.804199,411.068970,382.755554,405.825745,301.711761,4584080
2018-02-01,405.301422,411.068970,400.582520,404.777100,300.932129,3707456
2018-02-02,421.555420,432.041901,416.836517,419.458130,311.846771,7787533
2018-02-05,403.728455,412.117615,401.106842,403.728455,300.152496,3773780
2018-02-06,386.425812,396.912262,363.355621,371.220459,275.984375,7072643
2018-02-07,387.998779,396.387939,374.890717,374.890717,278.713013,5476433
2018-02-08,380.658264,385.377167,362.831299,364.928589,271.306671,4620689
2018-02-09,339.761108,353.393494,332.420593,347.625946,258.442993,5819951
2018-02-12,356.539429,361.258331,327.177338,327.177338,243.240494,8150194
2018-02-21,343.955688,346.052979,335.566528,341.858398,254.155121,7049507
2018-02-22,337.663818,348.150269,330.323303,342.907043,254.934738,9090013
2018-02-23,368.074524,368.598846,340.809753,340.809753,253.375534,10491812
2018-02-26,345.004333,348.674591,333.469238,340.809753,253.375534,6989815
2018-02-27,346.577301,350.247559,342.382721,346.577301,257.663391,4457824
2018-03-01,347.101624,362.831299,343.955688,362.831299,269.747467,7450494
2018-03-02,360.734009,396.387939,359.685364,383.279877,284.949982,11731125
2018-03-05,398.485229,401.106842,389.047424,395.339294,293.915588,9089421
2018-03-06,400.582520,405.301422,397.436584,402.155487,298.983093,6061541
2018-03-07,396.387939,419.458130,395.863617,412.641937,306.779266,7342528
2018-03-08,422.079742,423.652710,413.690582,419.982452,312.236572,6580825
2018-03-09,419.458130,437.285126,413.166260,425.225708,316.134674,10675511
2018-03-12,431.517578,439.382416,428.895966,429.944611,319.642944,4855207
2018-03-13,429.944611,439.382416,427.322998,439.382416,326.659485,4112740
2018-03-14,438.333771,447.771576,422.604065,425.225708,316.134674,7384504
2018-03-15,427.847321,437.809448,426.274353,437.809448,325.490082,4100442
2018-03-16,436.236481,445.674286,430.468933,445.674286,331.337158,6367325
